subject_id,sentence_n,trialtime,event
0,15,6034.2007,pressed key
0,15,6501.2739,pressed key
0,15,6968.3471,pressed key
0,15,7431.1727,pressed key
0,15,7820.028,pressed key
0,15,8793.5834,pressed key
0,15,9182.4387,pressed key
0,15,9563.1305,pressed key
0,15,10247.6401,pressed key
0,15,10636.4954,pressed key
0,15,11032.5572,pressed key
0,15,11360.4387,pressed key
0,15,11602.4406,pressed key
0,15,12295.0502,pressed key
0,15,12537.052,pressed key
0,15,12779.0539,pressed key
0,15,13222.99,pressed key
0,15,14011.0512,pressed key
0,15,14338.9327,pressed key
0,15,14806.0059,pressed key
0,15,15299.1249,pressed key
0,15,15843.3222,pressed key
0,15,16439.3984,pressed key
0,15,16883.3346,pressed key
0,15,17310.3607,pressed key
0,15,17916.6176,pressed key
0,15,19287.0714,pressed key
0,15,19632.5949,pressed key
0,15,20177.9456,pressed key
0,15,20621.8818,pressed key
0,15,21283.404,pressed key
0,15,21661.7324,pressed key
0,15,22257.5808,pressed key
0,15,22701.517,pressed key
0,15,23246.7651,pressed key
0,15,23649.4359,pressed key
0,15,24070.0767,pressed key
0,15,24458.932,pressed key
0,15,24917.3398,pressed key
0,15,25336.8631,pressed key
0,15,25974.9576,pressed key
0,15,26302.8391,pressed key
0,15,26691.6944,pressed key
0,15,27080.5497,pressed key
0,15,27573.6687,pressed key
0,15,27901.5502,pressed key
0,15,28814.4469,pressed key
0,15,29203.3022,pressed key
0,15,29647.2384,pressed key
0,15,30061.0014,pressed key
0,15,30528.0746,pressed key
0,15,30972.0107,pressed key
0,15,31517.4023,pressed key
0,15,32045.5786,pressed key
0,15,32508.4041,pressed key
0,15,33044.1147,pressed key
0,16,644.5174,pressed key
0,16,1189.9707,pressed key
0,16,1748.3609,pressed key
0,16,2315.941,pressed key
0,16,2860.588,pressed key
0,16,3405.9796,pressed key
0,16,3873.0528,pressed key
0,16,4565.7305,pressed key
0,16,5124.1207,pressed key
0,16,5502.4491,pressed key
0,16,5929.4752,pressed key
0,16,6356.5013,pressed key
0,16,7251.9816,pressed key
0,16,7719.0548,pressed key
0,16,8162.991,pressed key
0,16,8947.7276,pressed key
0,16,9336.5829,pressed key
0,16,9892.8496,pressed key
0,16,10385.9686,pressed key
0,16,10829.9048,pressed key
0,16,11256.9308,pressed key
0,16,11863.3062,pressed key
0,16,12724.5235,pressed key
0,16,13691.6004,pressed key
0,16,14833.3725,pressed key
0,16,15260.3986,pressed key
0,16,15735.5169,pressed key
0,16,16511.4979,pressed key
0,16,16861.7018,pressed key
0,16,17250.5572,pressed key
0,16,17725.6754,pressed key
0,16,18114.5307,pressed key
0,16,18807.2399,pressed key
0,16,19335.4161,pressed key
0,16,19966.7318,pressed key
0,16,20728.721,pressed key
0,16,21117.5763,pressed key
0,16,21467.7802,pressed key
0,16,21846.1086,pressed key
0,16,22234.9639,pressed key
0,16,22613.2923,pressed key
0,16,23306.009,pressed key
0,16,23733.035,pressed key
0,16,24160.0611,pressed key
0,16,24587.0872,pressed key
0,16,24975.9425,pressed key
